ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
1612,Eur HI,ITA,Italy,ROVIGO,"ROVIGO, Italy",11.7902158,45.0698118,33,2013,"1 station, background, urban",measured data,25,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1648,Eur HI,ITA,Italy,TORINO,"TORINO, Italy",7.6868565,45.070312,39,2013,0,measured data,26,converted from PM10,PM10: <75 % but annually representative; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1621,Eur HI,ITA,Italy,SAN ROCCO AL PORTO,"SAN ROCCO AL PORTO, Italy",9.6960732,45.0832757,30,2013,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1452,Eur HI,ITA,Italy,BADIA POLESINE,"BADIA POLESINE, Italy",11.4930559,45.0930208,33,2013,0,measured data,22,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
2852,Amr HI,USA,United States of America,"Not in a City,Lake,MN","Not in a City,Lake,MN, United States of America",-93.1241816,45.1001563,8,2014,"1 station, NA",converted from PM2.5,4,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
950,Eur HI,FRA,France,RAGEADE,"RAGEADE, France",3.277541,45.104799,10,2014,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1484,Eur HI,ITA,Italy,CASALE MONFERRATO,"CASALE MONFERRATO, Italy",8.450503,45.1316088,26,2013,0,measured data,17,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1509,Eur HI,ITA,Italy,CREMONA,"CREMONA, Italy",10.0226511,45.133249,35,2013,"2 stations, traffic, urban",measured data,27,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1514,Eur HI,ITA,Italy,DRUENTO,"DRUENTO, Italy",7.5765427,45.1346452,24,2013,0,measured data,16,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
2082,Eur LMI,ROU,Romania,BUZAU,"BUZAU, Romania",26.8171122,45.1371109,25,2013,0,measured data,19,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1642,Eur HI,ITA,Italy,SUSA,"SUSA, Italy",7.0484573,45.1386144,18,2013,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1636,Eur HI,ITA,Italy,SETTIMO TORINESE,"SETTIMO TORINESE, Italy",7.7709784,45.139586,39,2013,"1 station, traffic, urban",measured data,33,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
816,Eur HI,FRA,France,ECHIROLLES,"ECHIROLLES, France",5.718034,45.142151,28,2014,"1 station, Traffic urban",measured data,15,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
1463,Eur HI,ITA,Italy,BORGARO TORINESE,"BORGARO TORINESE, Italy",7.6548472,45.1517706,35,2013,"1 station, background, suburban",measured data,27,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1557,Eur HI,ITA,Italy,MANTOVA,"MANTOVA, Italy",10.7913751,45.1564168,33,2013,"1 station, industrial, urban",measured data,28,measured data,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
772,Eur HI,FRA,France,BRIVE-LA-GAILLARDE,"BRIVE-LA-GAILLARDE, France",1.533937,45.159555,21,2014,0,measured data,13,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1501,Eur HI,ITA,Italy,CODOGNO,"CODOGNO, Italy",9.7009465,45.1610569,41,2013,0,measured data,27,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
937,Eur HI,FRA,France,PERIGUEUX,"PERIGUEUX, France",0.7211149,45.184029,16,2014,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1586,Eur HI,ITA,Italy,PAVIA,"PAVIA, Italy",9.1582069,45.1847248,35,2013,0,measured data,23,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
842,Eur HI,FRA,France,GRENOBLE,"GRENOBLE, France",5.724524,45.188529,24,2014,"1 station, Traffic urban",measured data,12,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
824,Eur HI,FRA,France,FONTAINE,"FONTAINE, France",5.688211,45.192754,20,2014,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1548,Eur HI,ITA,Italy,LEGNAGO,"LEGNAGO, Italy",11.303213,45.1935965,35,2013,0,measured data,23,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1515,Eur HI,ITA,Italy,ESTE,"ESTE, Italy",11.6603917,45.2254915,27,2013,0,measured data,18,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1458,Eur HI,ITA,Italy,BERTONICO,"BERTONICO, Italy",9.6687882,45.2345995,35,2013,0,measured data,23,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
263,Amr HI,CAN,Canada,DORSET,"DORSET, Canada",-78.8938886,45.244235,9,2013,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
983,Eur HI,FRA,France,SAINT-JULIEN-MONT-DENIS,"SAINT-JULIEN-MONT-DENIS, France",6.404084,45.255932,20,2014,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
995,Eur HI,FRA,France,SAINT-PIERRE,"SAINT-PIERRE, France",6.400683,45.257298,22,2014,"1 station, Background urban",measured data,9,measured data,PM10: <75 % but annually representative; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
2094,Eur LMI,ROU,Romania,ISACCEA,"ISACCEA, Romania",28.4607273,45.265423,18,2013,0,measured data,13,converted from PM10,PM10: <75 % but annually representative; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1019,Eur HI,FRA,France,TULLE,"TULLE, France",1.771697,45.26565,16,2014,"1 station, Background urban",measured data,9,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
2126,Eur LMI,SRB,Serbia,NOVI SAD,"NOVI SAD, Serbia",19.8335496,45.2671352,33,2013,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
2083,Eur LMI,ROU,Romania,CAMPULUNG,"CAMPULUNG, Romania",25.0531038,45.270605,12,2013,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
328,Amr HI,CAN,Canada,SAINT JOHN,"SAINT JOHN, Canada",-66.0633081,45.2733153,8,2013,"4 stations, NA",measured data,7,measured data,PM10: >75%; PM2.5:>75%,National Air Pollution Surveillance Network.
980,Eur HI,FRA,France,SAINT-JEAN-DE-MAURIENNE,"SAINT-JEAN-DE-MAURIENNE, France",6.344886,45.275403,13,2014,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1498,Eur HI,ITA,Italy,CINTO EUGANEO,"CINTO EUGANEO, Italy",11.6619132,45.2768326,26,2013,0,measured data,17,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1585,Eur HI,ITA,Italy,PARONA,"PARONA, Italy",8.7495391,45.2824967,38,2013,0,measured data,25,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
805,Eur HI,FRA,France,CROLLES,"CROLLES, France",5.882983,45.284906,20,2014,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1640,Eur HI,ITA,Italy,SORESINA,"SORESINA, Italy",9.8576313,45.2872836,42,2013,"1 station, traffic, suburban",measured data,34,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
2861,Amr HI,USA,United States of America,"Not in a City,Powder River,MT","Not in a City,Powder River,MT, United States of America",-105.5346557,45.2968361,11,2014,"1 station, NA",converted from PM2.5,6,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
330,Amr HI,CAN,Canada,SAINT-JEAN-SUR-RICHELIEU,"SAINT-JEAN-SUR-RICHELIEU, Canada",-73.2544903,45.305771,12,2013,"1 station, NA",converted from PM2.5,7,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
1551,Eur HI,ITA,Italy,LODI,"LODI, Italy",9.503716,45.3097228,35,2013,"2 stations, traffic, urban",measured data,23,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
